Datetime;A;Y;Er
2024-05-16 01:00:00;11424.500591187187;-3.2212487983096074;34.15118457923682
2024-05-16 01:15:00;11996.88019295152;-3.208891278599643;30.9951986548465
2024-05-16 01:30:00;7021.919959894793;-2.9714433545059995;24.009070889052165
2024-05-16 01:45:00;6645.511852894799;-2.9647367354768823;24.264594287025034
2024-05-16 02:00:00;176183.19766094405;-4.329105661890262;-934400941.9247472
2024-05-16 02:15:00;18097.921358647738;-3.397430914293437;41.3139102280649
2024-05-16 02:30:00;11740.718277734526;-3.2292011936853218;33.81336895341207
2024-05-16 02:45:00;27456.649044683;-3.612344537949051;54.17266395774115
2024-05-16 03:00:00;325395.60341554345;-4.534958575753528;-770802792.4615095
2024-05-16 03:15:00;21314.512144547072;-3.496529758336126;41.597804806234095
2024-05-16 03:30:00;22182.40183447652;-3.459010586379709;32.535814610692945
2024-05-16 03:45:00;437727.7063864981;-4.626835243351668;-2236404919.026042
2024-05-16 04:00:00;409412.73141047626;-4.61833800771424;-1701234757.8381858
2024-05-16 04:15:00;259227.76920264828;-4.482563819813998;-835516137.9393011
2024-05-16 04:30:00;69988.53989226096;-4.042073697193673;109.7019100844161
2024-05-16 04:45:00;12657.908049426693;-3.281690630431051;26.909614935766633
2024-05-16 05:00:00;191149.09172888607;-4.44429851263861;6728189.910728594
2024-05-16 05:15:00;362901.80123052717;-4.594299823781795;-1070192111.8126768
2024-05-16 05:30:00;539977.7058199283;-4.739287446026542;-1608236098.639604
2024-05-16 05:45:00;85001.32428046843;-4.114053691641828;126.18464900135729
2024-05-16 06:00:00;42029.18535098049;-3.7445228541504147;40.486597007910525
2024-05-16 06:15:00;14467.219290806595;-3.2811870960918186;25.322672985223324
2024-05-16 06:30:00;32114.49904214553;-3.6775813860657265;48.80547153023085
2024-05-16 06:45:00;22996.259761710997;-3.489152944130646;31.8803301886178
2024-05-16 07:00:00;48374.70409940563;-3.828159364087616;60.57935027924129
2024-05-16 07:15:00;88506.9259239066;-4.094993146692182;103.77535173642286
2024-05-16 07:30:00;103117.26021327628;-4.140479792157028;84.8637115000222
2024-05-16 07:45:00;863099.6627030519;-4.915220786248168;-3698377199.298623
2024-05-16 08:00:00;20295.894551670608;-3.4549019521595357;29.518709556806634
2024-05-16 08:15:00;62750.4518225132;-3.9903631838942593;76.0364797479168
2024-05-16 08:30:00;29607.514624795946;-3.6386011592100584;38.05611114986205
2024-05-16 08:45:00;14613.861785977184;-3.31941563419877;26.532587089193836
2024-05-16 09:00:00;129530.73213548544;-4.322735984442673;58222691.12811098
2024-05-16 09:15:00;46777.70333988941;-3.8599112487130482;58.64431242869726
2024-05-16 09:30:00;158017.39770213506;-4.368029719259609;308.70078510304603
2024-05-16 09:45:00;13297.14437518604;-3.347750798094472;30.763469671440586
2024-05-16 10:00:00;61966.27802126924;-3.9775043971092656;58.35210663984348
2024-05-16 10:15:00;24488.296344795446;-3.592010115238255;36.226511066033716
2024-05-16 10:30:00;7793.5633730137715;-3.137074215836462;25.196126676298448
2024-05-16 10:45:00;20794.166522752974;-3.5364191832628578;39.0920483647661
2024-05-16 11:00:00;148370.87787540673;-4.343830492453399;189.7903277538006
2024-05-16 11:15:00;35636.47922895187;-3.737063186965662;36.98783013476843
2024-05-16 11:30:00;104130.16329188406;-4.19637671634599;81.42486831925288
2024-05-16 11:45:00;85075.32928925664;-4.16796319698434;108.74319154761481
2024-05-16 12:00:00;22496.872960282082;-3.581206431558286;31.595498456710853
2024-05-16 12:15:00;48232.08914825365;-3.885383834045109;43.741554650946185
2024-05-16 12:30:00;86536.35773683345;-4.218446538422047;189.78402724052293
2024-05-16 12:45:00;97594.99574083852;-4.343077459741233;422217383.67213595
2024-05-16 13:00:00;67832.79885326547;-4.17477663641039;83.19422688334808
2024-05-16 13:15:00;115459.41764113659;-4.380941927823548;147.39347650785473
2024-05-16 13:30:00;132036.75571934285;-4.524862209449659;92565568.02622023
2024-05-16 13:45:00;43615.48638981723;-4.110631074513876;175.73194011291966
2024-05-16 14:00:00;82118.8431717175;-4.426141951292313;380268194.03691137
2024-05-16 14:15:00;24550.627270114142;-3.8583586685827767;47.48189403473355
2024-05-16 14:30:00;133726.20233872;-4.566937624866622;10219.923528241221
